Tracking_Number,Species,Date,Time,Lat,Long
158390,Blue Whale 2,10/4/2018,15:26:46,-65.786,49.67624
158390,Blue Whale 2,10/5/2018,0:36:02,-65.88525,49.77344
158390,Blue Whale 2,10/6/2018,21:58:19,-66.96974,49.56078
158390,Blue Whale 2,10/7/2018,13:20:45,-66.72377,49.52933
158390,Blue Whale 2,10/8/2018,15:09:37,-66.9113,49.56075
158390,Blue Whale 2,10/9/2018,13:00:52,-66.9417,49.52727
158390,Blue Whale 2,10/10/2018,13:24:24,-66.62322,49.8248
158390,Blue Whale 2,10/11/2018,16:21:26,-66.47227,48.64328
158390,Blue Whale 2,10/12/2018,22:14:54,-65.09919,49.25864
158390,Blue Whale 2,10/13/2018,0:05:58,-65.04718,49.23472
158390,Blue Whale 2,10/14/2018,14:39:01,-64.03665,48.97159
158390,Blue Whale 2,10/15/2018,21:33:42,-63.99995,49.03815
158390,Blue Whale 2,10/16/2018,10:45:45,-63.55649,48.96277
158390,Blue Whale 2,10/17/2018,21:39:27,-63.80963,48.72084
158390,Blue Whale 2,10/18/2018,12:51:48,-63.89433,48.29621
158390,Blue Whale 2,10/19/2018,20:07:36,-62.92736,46.48581
158390,Blue Whale 2,10/20/2018,22:45:38,-59.78452,46.21773
158390,Blue Whale 2,10/21/2018,12:38:43,-59.04248,45.2988
158390,Blue Whale 2,10/22/2018,19:30:50,-60.79351,43.80468
158390,Blue Whale 2,10/23/2018,1:40:57,-60.98804,43.44503
158390,Blue Whale 2,10/25/2018,7:22:20,-60.15622,39.75861
158390,Blue Whale 2,10/26/2018,10:38:21,-58.77203,36.92999
158390,Blue Whale 2,10/27/2018,10:58:07,-59.08722,36.42147
158390,Blue Whale 2,10/28/2018,8:35:41,-59.62591,35.68902
158390,Blue Whale 2,10/29/2018,10:56:25,-60.53146,34.48773
158390,Blue Whale 2,10/31/2018,9:44:32,-61.3864,37.44764
158390,Blue Whale 2,10/31/2018,23:33:19,-61.93905,38.09714
158390,Blue Whale 2,11/1/2018,22:17:18,-61.50884,39.63828
158390,Blue Whale 2,11/2/2018,13:45:24,-62.18646,40.06011
158390,Blue Whale 2,11/3/2018,20:28:54,-60.65748,42.63248
158390,Blue Whale 2,11/4/2018,19:48:47,-59.49318,43.58841
158390,Blue Whale 2,11/5/2018,0:26:16,-59.06425,44.10881
158390,Blue Whale 2,11/6/2018,12:20:25,-60.41906,44.44322
158390,Blue Whale 2,11/7/2018,15:21:10,-60.13857,45.59561
158390,Blue Whale 2,11/8/2018,12:05:19,-60.04621,45.47981
158390,Blue Whale 2,11/9/2018,7:38:53,-59.70578,46.14573
158390,Blue Whale 2,11/10/2018,20:43:35,-60.1774,47.17779
158390,Blue Whale 2,11/11/2018,9:48:54,-60.72716,47.84291
158390,Blue Whale 2,11/12/2018,23:25:35,-62.94886,48.72036
158390,Blue Whale 2,11/13/2018,20:56:55,-62.94734,48.56936
158390,Blue Whale 2,11/14/2018,8:15:26,-63.12253,48.43909
158390,Blue Whale 2,11/15/2018,10:28:34,-62.51315,49.05746
158390,Blue Whale 2,11/18/2018,9:33:35,-62.74248,49.05649
174448,Blue Whale 3,10/12/2018,2:53:37,33.590N,117.883W
174448,Blue Whale 3,10/12/2018,23:24:14,33.553N,117.713W
174448,Blue Whale 3,12/12/2018,4:25:12,33.534N,117.771W
174448,Blue Whale 3,13/12/18,3:59:20,33.554N,117.817W
174448,Blue Whale 3,14/12/18,3:04:40,33.561N,117.836W
174448,Blue Whale 3,15/12/18,2:26:07,33.578N,117.866W
174448,Blue Whale 3,16/12/18,4:09:51,33.530N,117.766W
174448,Blue Whale 3,17/12/18,4:17:05,33.554N,117.818W
